Minister of Defence,Office of the Chief of Defence Staff
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Lanka Textile Mills Emporium Ltd.
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Lanka Salusala Ltd
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Sri Lanka Handicraft Board (Laksala)
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",National Design Centre
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",National Gem and Jewellery Authority
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Gem and Jewellery Research and Training Institute
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Industrial Technology Institute
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Lanka Phosphate Limited
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Vidatha Centres
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",National Salt Limited
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Sri Lanka Cement Corporation
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Paranthan Chemicals Ltd
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",BCC Lanka Limited
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Lanka General Trading Company Ltd
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Colombo Lotus Tower Management Company (Pvt) Limited
Minister of Health,National Health Council
Minister of Health,Medical Research Institute
Minister of Health,National Institute of Health Sciences
Minister of Health,Sri Lanka Medical Council
Minister of Health,Sri Lanka Medical College Council
Minister of Health,Private Health Services Regulatory Council
Minister of Health,Department of Health Services
Minister of Health,"All National, Teaching and Specific Government Hospitals"
Minister of Health,School of Medical Laboratory Technology
Minister of Health,"National Institute of Nephrology, Dialysis and Transplantation"
Minister of Health,Sri Jayawardenepura General Hospital
Minister of Health,Vijaya Kumaratunga Memorial Hospital
Minister of Health,Ashraf Memorial Hospital
Minister of Health,National Authority on Tobacco and Alcohol
Minister of Health,1990 Suwaseriya Foundation
Minister of Health,National Health Development Fund
Minister of Health,State Pharmaceutical Corporation
Minister of Health,State Pharmaceutical Manufacturing Corporation
Minister of Health,National Medicines Regulatory Authority
Minister of Health,Department of Ayurveda
Minister of Health,Sri Lanka Ayurvedic Drugs Corporation
Minister of Health,Ayurvedic Medical Council
Minister of Health,Ayurvedic College and Hospital Board
Minister of Health,Ayurveda Teaching and Research Hospitals
Minister of Health,"Homeopathy Hospital, Welisara"
Minister of Health,Homeopathy Medical Council
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of Buddhist Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of Hindu Religious and Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of Christian Religious Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of Muslim Religious and Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of National Museums
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of National Archives
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of Public Trustee
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Central Cultural Fund
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Buddha Sasana Fund
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Buddhist Renaissance Fund
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Department of Archaeology
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Tower Hall Theatre Foundation
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",National Arts Council
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Gramodaya Folk Arts Centre
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Galle Heritage Foundation
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",National Performing Arts Theatre (Nelum Pokuna)
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Mahinda Rajapaksa National Tele Cinema Park
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Ape Gama
"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",Amaradeva Aesthetic and Research Center
